id,ident,name,continent,iso_country,municipality,is_ue
5097,OEJN,King Abdulaziz International Airport,AS,SA,Jeddah,0
5098,OEKK,King Khaled Military City Airport,AS,SA,King Khaled Military City,0
5099,OEKM,King Khalid Air Base,AS,SA,Khamis Mushait,0
5101,OEMA,Prince Mohammad Bin Abdulaziz Airport,AS,SA,Medina,0
5102,OENG,Najran Domestic Airport,AS,SA,Najran,0
332512,OENN,Neom Bay Airport,AS,SA,Sharma,0
5103,OEPA,Qaisumah–Hafar Al-Batin International Airport,AS,SA,Qaisumah,0
5109,OEPS,Prince Sultan Air Base,AS,SA,Al Kharj,0
5111,OERF,Rafha Domestic Airport,AS,SA,Rafha,0
5112,OERK,King Khalid International Airport,AS,SA,Riyadh,0
5113,OERM,Ras Mishab Airport,AS,SA,Al Mishab,0
5114,OERR,Arar Domestic Airport,AS,SA,Arar,0
5115,OERT,Ras Tanura Airport,AS,SA,Ras Tanura,0
5118,OESH,Sharurah Domestic Airport,AS,SA,Sharurah,0
5119,OESK,Al-Jawf International Airport,AS,SA,Al-Jawf,0
5121,OETB,Prince Sultan bin Abdulaziz International Airport,AS,SA,Tabuk,0
5122,OETF,Taif International Airport,AS,SA,Taif,0
5124,OETN,Ras Tanajib Airport,AS,SA,As Saffaniyah,0
5125,OETR,Turaif Domestic Airport,AS,SA,Turaif,0
5127,OEWD,Wadi Al Dawasir Domestic Airport,AS,SA,Wadi Al Dawasir,0
5128,OEWJ,Al Wajh Domestic Airport,AS,SA,Al Wajh,0
5129,OEYN,Prince Abdulmohsen Bin Abdulaziz International Airport,AS,SA,Yanbu,0
5130,OIAA,Abadan Ayatollah Jami International Airport,AS,IR,Abadan,0
5131,OIAD,Dezful Airport,AS,IR,Dezful,0
5132,OIAG,Aghajari Airport,AS,IR,Omidiyeh,0
5133,OIAH,Gachsaran Airport,AS,IR,Gachsaran,0
5134,OIAI,Shahid Asiyaee Airport,AS,IR,Masjed Soleyman,0
5136,OIAM,Mahshahr Airport,AS,IR,Mahshahr,0
5137,OIAW,Qasem Soleimani International Airport,AS,IR,Ahvaz,0
5138,OIBA,Abu Musa Island Airport,AS,IR,Abu Musa,0
5139,OIBB,Bushehr Airport,AS,IR,Bushehr,0
5142,OIBJ,Jam Airport,AS,IR,Jam,0
5143,OIBK,Kish International Airport,AS,IR,Kish Island,0
5144,OIBL,Bandar Lengeh International Airport,AS,IR,Bandar Lengeh,0
5145,OIBP,Persian Gulf International Airport,AS,IR,Khiyaroo,0
5146,OIBQ,Khark Airport,AS,IR,Khark,0
5147,OIBS,Siri Airport,AS,IR,Siri,0
5148,OIBV,Lavan Airport,AS,IR,Lavan Airport,0
5149,OICC,Shahid Ashrafi Esfahani Airport,AS,IR,Kermanshah,0
5150,OICI,Ilam Airport,AS,IR,Ilam,0
5151,OICK,Khoram Abad Airport,AS,IR,,0
5152,OICS,Sanandaj Airport,AS,IR,,0
5155,OIFK,Kashan Airport,AS,IR,Kashan,0
5156,OIFM,Isfahan Shahid Beheshti International Airport,AS,IR,Isfahan,0
5157,OIFP,Badr Air Base,AS,IR,Esfahan,0
5158,OIFS,Shahrekord Airport,AS,IR,Shahrekord,0
5159,OIGG,Sardar-e-Jangal Airport,AS,IR,Rasht,0
5160,OIHH,Hamadan Airport,AS,IR,Hamadan,0
5162,OIHS,Nojeh Air Base,AS,IR,Amirabad,0
5166,OIIE,Imam Khomeini International Airport,AS,IR,Tehran,0
5168,OIII,Mehrabad International Airport,AS,IR,Tehran,0
5169,OIIK,Qazvin Airport,AS,IR,Qazvin,0
5171,OIIP,Payam International Airport,AS,IR,Karaj,0
5172,OIKB,Bandar Abbas International Airport,AS,IR,Bandar Abbas,0
5173,OIKJ,Jiroft Airport,AS,IR,Jiroft,0
5174,OIKK,Ayatollah Hashemi Rafsanjani International Airport,AS,IR,Kerman,0
